Parameter_ID,Parameter_Name,Number,Description
Q,Suppletive forms for the positive identity and locative copulas (including obligatory “zero verb” as a separate stem),0,no
Q,Suppletive forms for the positive identity and locative copulas (including obligatory “zero verb” as a separate stem),1,yes
R,Suppletive forms (for at least one form) of the positive and negative copulas,0,no
R,Suppletive forms (for at least one form) of the positive and negative copulas,1,yes
S,“Finite” or “narrative” predicate marker,0,none
S,“Finite” or “narrative” predicate marker,1,"yes, but only in some verbal categories and “optional”"
S,“Finite” or “narrative” predicate marker,2,"yes, obligatory"
T,Object marking on predicate,0,none
T,Object marking on predicate,1,yes – regular and productive
T,Object marking on predicate,2,object marking is found but generally not subject marking
T,Object marking on predicate,3,"special marker denoting that object is a 1st or 2nd person, but not a person marker, strictly speaking (e.g., Kuvi, Kui)"
T,Object marking on predicate,4,"yes, but only in combination with ergativity (e.g., Hindi)"
U,Anticipatory predicate category,0,no
U,Anticipatory predicate category,1,"yes, on finite predicates (and perhaps also non-finite)."
U,Anticipatory predicate category,2,"yes, but only non-finite forms"
U,Anticipatory predicate category,3,"form contains a finite and a non-finite element, e.g., the form “Verb-*an* Verb-*le*” found in Sora (Anderson and Harrison 2008b: 346), where the second form (in *-le*) is a finite form but the first form is not."
V,Interrogative pronoun is also used in relative clauses,0,no
V,Interrogative pronoun is also used in relative clauses,1,yes
W,"Lexeme is found which can mean both ‘start’ and ‘continue’, irrespective of *Aktionsart* of the predicate",0,no
W,"Lexeme is found which can mean both ‘start’ and ‘continue’, irrespective of *Aktionsart* of the predicate",1,yes
W,"Lexeme is found which can mean both ‘start’ and ‘continue’, irrespective of *Aktionsart* of the predicate",2,"no, but clear historical traces are still found (e.g., Santali)"
X,‘want’ is formally identical with ‘search’,0,no
X,‘want’ is formally identical with ‘search’,1,yes
Y,Interrogative marker is also used as a complementizer,0,no
Y,Interrogative marker is also used as a complementizer,1,yes
Z,"Nominal incorporation, where the nominal element becomes part of the same morphological word as the predicate",0,no
Z,"Nominal incorporation, where the nominal element becomes part of the same morphological word as the predicate",1,"yes, largely productive"
Z,"Nominal incorporation, where the nominal element becomes part of the same morphological word as the predicate",2,"yes, but not productive - only with a very limited number of nouns"
AA,Active /passive opposition,0,"none found (e.g., achieved instead through other means such as an active /middle distinction, where the middle fulfils this function, in addition to other functions such as ‘intransitive’, etc.)"
AA,Active /passive opposition,1,yes (morphological or periphrastic)
AB,"Number neutralization, i.e.,singular (/dual) /plural distinction is neutralized in some environment (e.g., in verbal morphology)",0,none found
AB,"Number neutralization, i.e.,singular (/dual) /plural distinction is neutralized in some environment (e.g., in verbal morphology)",1,"some form of obligatory number neutralization is found, e.g., Bengali, where the singular /plural distinction found with nouns is not found with verbs, which show no number distinctions. This group also includes languages where the neutralization affects only part of the verb system, e.g. Remo, which has a singular /dual /plural distinction with pronouns and verbs in the 1st and 2nd persons, but not on verbs for 3rd persons, Gtaʔ, where the dual /plural opposition is neutralized in the first person only, or Gorum, where there is number neutralization in 3rd person object marking."
AB,"Number neutralization, i.e.,singular (/dual) /plural distinction is neutralized in some environment (e.g., in verbal morphology)",2,"found, but typically “optional”, e.g., Kharia, where the dual marker *=kiyaror* the plural marker *=ki* are optional with nouns and where the predicate in 3rd persons may optionally mark for non-singular number. This also includes Bhojpuri, where e.g. Verma (2003: 531) writes that number is basically not marked on verb forms – only person and honorific status – although it is optionally marked periphrastically."
AC,Melodic overwriting (“echo-wordformation”) with -*i*-Substitution,0,no
AC,Melodic overwriting (“echo-wordformation”) with -*i*-Substitution,1,yes
AC,Melodic overwriting (“echo-wordformation”) with -*i*-Substitution,2,"yes, but the first consonant is also replaced by another consonant, e.g., by /g/ in Kuvi, or by /b/, e.g., in Marathi."
